course_name,grading
ACCT-338,GRD
AMST-315,GRD
ANTH-200,GRD
ANTH-459,GRD
ART-199,GRD
ART-365,GRD
ART-290,GRD
ART-352,GRD
ART-390,GRD
ART-395,GRD
ART-399,GRD
ART-399,GRD
ART-416,GRD
ART-422,P/F
ART-429,GRD
ART-431,GRD
ART-442,GRD
ART-461,GRD
ART-471,GRD
ART-490,GRD
BIOL-399,GRD
BIOL-415,GIP
BIOL-416,GIP
BIOL-420,GRD
BIOL-450,P/F
BIOL-490,GRD
BUAD-338,GRD
BUAD-449,GRD
BUAD-494,GRD
CADR-400,PIP
CHEM-210,GRD
CHEM-310,GRD
CHEM-410,GRD
CHEM-499,GRD
COMM-125,P/F
COMM-135,GRD
COMM-239,GRD
COMM-350,GRD
COMM-390,GRD
COMM-391,GRD
COMM-392,GRD
COMM-397,GRD
COMM-420,GRD
COMM-422,PNP
COMM-490,GRD
COMM-492,GRD
COMM-495,GRD
COOP-490,GRD
COSC-284,GRD
COSC-290,P/F
COSC-380,PIP
COSC-390,PIP
COSC-490,GRD
COSC-495,P/F
DANC-106,GRD
DANC-323,GRD
DANC-380,GRD
DANC-490,GRD
DANC-491,GRD
ECON-338,GRD
ECON-494,GRD
EDPE-188,GRD
EDUC-199,GRD
EDUC-490,P/F
EDUC-491,GRD
ELEC-100,GRD
ELEC-300,GRD
ELED-309,P/F
ENGL-199,GRD
ENGL-300,GRD
ENGL-301,GRD
ENGL-302,GRD
ENGL-303,GRD
ENGL-306,GRD
ENGL-415,GRD
ENGL-416,GRD
ENGL-325,GRD
ENGL-339,GRD
ENGL-340,GRD
ENGL-343,GRD
ENGL-344,GRD
ENGL-368,GRD
ENGL-399,GRD
ENGL-400,GRD
FILM-401,GRD
FILM-323,GRD
ENGL-410,GRD
ENGL-450,GRD
ENGL-490,GRD
ENGL-491,GRD
ENGL-493,GRD
ENVH-490,GRD
ENVH-495,GRD
EXSC-479,P/F
FINA-338,GRD
FINA-449,GRD
FREN-300,GRD
FREN-496,GRD
GENL-150,GRD
GENL-191,GRD
GENL-199,GRD
GEOG-399,GRD
GEOG-415,GRD
GEOG-422,GRD
GEOG-450,GRD
GERM-496,GRD
HIST-199,GRD
HIST-215,GRD
HIST-375,GRD
HIST-390,GRD
HIST-399,GRD
HIST-430,GRD
HIST-430,GRD
HIST-472,GRD
HIST-480,GRD
HIST-490,GRD
HONR-112,GRD
HONR-211,GRD
HONR-211,GRD
HONR-212,GRD
HONR-311,GRD
HONR-312,P/F
IDIS-100,GRD
IDIS-260,GRD
IDIS-280,GRD
